resources,replicate,timeStepBacteria,bacteriaPhen,timeStepPhage,phagePhen,infection,timeShift
low,1,1,1,1,1,1,0
low,1,1,1,1,2,1,0
low,1,1,1,1,3,1,0
low,1,1,1,1,4,1,0
low,1,1,1,1,5,1,0
low,1,1,1,1,6,1,0
low,1,1,1,1,7,1,0
low,1,1,1,1,8,1,0
low,1,1,1,1,9,1,0
low,1,1,1,1,10,1,0
low,1,1,1,1,11,1,0
low,1,1,1,1,12,1,0
low,1,1,1,1,8,1,0
low,1,1,1,1,13,1,0
low,1,1,1,1,14,1,0
low,1,1,1,1,15,1,0
low,1,1,1,1,16,1,0
low,1,1,1,1,17,1,0
low,1,1,1,1,18,1,0
low,1,1,1,1,19,1,0
low,1,1,1,2,20,1,1
low,1,1,1,2,21,1,1
low,1,1,1,2,22,1,1
low,1,1,1,2,23,1,1
low,1,1,1,2,24,1,1
low,1,1,1,2,25,1,1
low,1,1,1,2,26,1,1
low,1,1,1,2,27,1,1
low,1,1,1,2,28,1,1
low,1,1,1,2,29,1,1
low,1,1,1,2,30,1,1
low,1,1,1,2,31,1,1
low,1,1,1,2,32,1,1
low,1,1,1,2,33,1,1
low,1,1,1,2,34,1,1
low,1,1,1,2,35,1,1
low,1,1,1,2,36,1,1
low,1,1,1,2,37,1,1
low,1,1,1,2,38,1,1
low,1,1,1,2,39,1,1
low,1,1,1,3,40,1,2
low,1,1,1,3,41,1,2
low,1,1,1,3,42,1,2
low,1,1,1,3,43,1,2
low,1,1,1,3,44,1,2
low,1,1,1,3,45,0,2
low,1,1,1,3,46,1,2
low,1,1,1,3,47,0,2
low,1,1,1,3,48,0,2
low,1,1,1,3,49,1,2
low,1,1,1,3,50,1,2
low,1,1,1,3,51,1,2
low,1,1,1,3,52,1,2
low,1,1,1,3,53,1,2
low,1,1,1,3,54,1,2
low,1,1,1,3,55,1,2
low,1,1,1,3,56,0,2
low,1,1,1,3,57,1,2
low,1,1,1,3,58,1,2
low,1,1,1,3,59,1,2
low,1,1,1,4,60,1,3
low,1,1,1,4,61,0,3
low,1,1,1,4,62,0,3
low,1,1,1,4,60,1,3
low,1,1,1,4,63,0,3
low,1,1,1,4,64,0,3
low,1,1,1,4,65,0,3
low,1,1,1,4,62,0,3
low,1,1,1,4,66,0,3
low,1,1,1,4,67,0,3
low,1,1,1,4,66,0,3
low,1,1,1,4,68,0,3
low,1,1,1,4,69,0,3
low,1,1,1,4,70,0,3
low,1,1,1,4,71,0,3
low,1,1,1,4,72,1,3
low,1,1,1,4,73,0,3
low,1,1,1,4,74,1,3
low,1,1,1,4,66,0,3
low,1,1,1,4,66,0,3
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,75,0,4
low,1,1,1,6,76,0,5
low,1,1,1,6,77,0,5
low,1,1,1,6,76,0,5
low,1,1,1,6,78,1,5
low,1,1,1,6,76,0,5
low,1,1,1,6,76,0,5
low,1,1,1,6,79,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,1,1,1,0
low,1,1,1,1,2,1,0
low,1,1,1,1,3,1,0
low,1,1,1,1,4,1,0
low,1,1,1,1,5,1,0
low,1,1,1,1,6,1,0
low,1,1,1,1,7,1,0
low,1,1,1,1,8,1,0
low,1,1,1,1,9,1,0
low,1,1,1,1,10,1,0
low,1,1,1,1,11,1,0
low,1,1,1,1,12,1,0
low,1,1,1,1,8,1,0
low,1,1,1,1,13,1,0
low,1,1,1,1,14,1,0
low,1,1,1,1,15,1,0
low,1,1,1,1,16,1,0
low,1,1,1,1,17,1,0
low,1,1,1,1,18,1,0
low,1,1,1,1,19,1,0
low,1,1,1,2,20,1,1
low,1,1,1,2,21,1,1
low,1,1,1,2,22,1,1
low,1,1,1,2,23,1,1
low,1,1,1,2,24,1,1
low,1,1,1,2,25,1,1
low,1,1,1,2,26,1,1
low,1,1,1,2,27,1,1
low,1,1,1,2,28,1,1
low,1,1,1,2,29,1,1
low,1,1,1,2,30,1,1
low,1,1,1,2,31,1,1
low,1,1,1,2,32,1,1
low,1,1,1,2,33,1,1
low,1,1,1,2,34,1,1
low,1,1,1,2,35,1,1
low,1,1,1,2,36,1,1
low,1,1,1,2,37,1,1
low,1,1,1,2,38,1,1
low,1,1,1,2,39,1,1
low,1,1,1,3,40,1,2
low,1,1,1,3,41,1,2
low,1,1,1,3,42,1,2
low,1,1,1,3,43,1,2
low,1,1,1,3,44,1,2
low,1,1,1,3,45,0,2
low,1,1,1,3,46,1,2
low,1,1,1,3,47,0,2
low,1,1,1,3,48,0,2
low,1,1,1,3,49,1,2
low,1,1,1,3,50,1,2
low,1,1,1,3,51,1,2
low,1,1,1,3,52,1,2
low,1,1,1,3,53,1,2
low,1,1,1,3,54,1,2
low,1,1,1,3,55,1,2
low,1,1,1,3,56,0,2
low,1,1,1,3,57,1,2
low,1,1,1,3,58,1,2
low,1,1,1,3,59,1,2
low,1,1,1,4,60,1,3
low,1,1,1,4,61,0,3
low,1,1,1,4,62,0,3
low,1,1,1,4,60,1,3
low,1,1,1,4,63,0,3
low,1,1,1,4,64,0,3
low,1,1,1,4,65,0,3
low,1,1,1,4,62,0,3
low,1,1,1,4,66,0,3
low,1,1,1,4,67,0,3
low,1,1,1,4,66,0,3
low,1,1,1,4,68,0,3
low,1,1,1,4,69,0,3
low,1,1,1,4,70,0,3
low,1,1,1,4,71,0,3
low,1,1,1,4,72,1,3
low,1,1,1,4,73,0,3
low,1,1,1,4,74,1,3
low,1,1,1,4,66,0,3
low,1,1,1,4,66,0,3
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,66,0,4
low,1,1,1,5,75,0,4
low,1,1,1,6,76,0,5
low,1,1,1,6,77,0,5
low,1,1,1,6,76,0,5
low,1,1,1,6,78,1,5
low,1,1,1,6,76,0,5
low,1,1,1,6,76,0,5
low,1,1,1,6,79,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
low,1,1,1,6,66,0,5
